building_id,building_code,building_block,building_coord_x,building_coord_y,demand_kwh,max_pv_gen_kwh,sizing_factor,self_consumption,size_kw
1,1,Z0009,682183,247685,390050.5414,438610.3813,0.889287071,0.492584723,398
2,2,Z0009,682138,247635,745670.8274,475286.8508,1,0.641383556,485
3,3,Z0009,682194,247670,13070.36212,32824.6028,0.398187975,0.511772901,13.3
4,4,Z0009,682152.25,247684.55,12803.62004,32154.71295,0.398187975,0.511772901,13.1
5,5,Z0012,681806,247940,10255.59287,23390.48215,0.438451538,0.272875531,10.5
6,6,Z0012,681813,247953,13516.16412,34056.54202,0.396874237,0.272875531,13.8
7,7,Z0012,681818,247965,6450.414274,21332.11972,0.302380371,0.272875531,6.6
8,8,Z0012,681820,247975,13455.33784,30688.31259,0.438451538,0.272875531,13.7
9,9,Z0012,681807,247981,9336.125923,22454.86287,0.41577301,0.272875531,9.5
10,10,Z0015,681917,247833,16609.40944,43802.4613,0.379188953,0.273643855,16.9
11,11,Z0015,681909,247816,7477.542893,19719.83318,0.379188953,0.273643855,7.6
12,12,Z0015,681897,247822,11911.13027,31412.12364,0.379188953,0.273643855,12.2
13,13,Z0015,681885,247829,8933.347706,23559.09273,0.379188953,0.273643855,9.1
14,14,Z0015,681874,247836,12837.55152,33855.28881,0.379188953,0.273643855,13.1
15,15,Z0015,681880,247852,11712.61144,34595.21884,0.338561565,0.273643855,12
16,16,Z0015,681924,247851,7874.58057,20766.90396,0.379188953,0.273643855,8
17,17,Z0015,681912,247857,11911.13027,31412.12364,0.379188953,0.273643855,12.2
18,18,Z0015,681900,247863,8867.174759,23384.58093,0.379188953,0.273643855,9
19,19,Z0015,681887,247867,13300.76214,35076.8714,0.379188953,0.273643855,13.6
20,20,Z0020,681848,247850,13544.03806,37246.82108,0.363629369,0.273706159,13.8
21,21,Z0020,681832,247855,10302.7298,28333.05193,0.363629369,0.273706159,10.5
22,22,Z0020,681818,247863,10418.49081,28651.40083,0.363629369,0.273706159,10.6
23,23,Z0020,681856,247865,11314.48102,28810.57528,0.392719719,0.273706159,11.5
24,24,Z0020,681861,247881,15419.3664,35336.72769,0.436355243,0.273706159,15.7
25,25,Z0020,681847,247890,10302.7298,28333.05193,0.363629369,0.273706159,10.5
26,26,Z0020,681833,247897,10302.7298,28333.05193,0.363629369,0.273706159,10.5
27,27,Z0020,681818,247902,12270.66696,33744.9832,0.363629369,0.273706159,12.5
28,28,Z0020,681810,247888,10418.49081,28651.40083,0.363629369,0.273706159,10.6
29,29,Z0020,681804,247872,13138.87453,36132.59994,0.363629369,0.273706159,13.4
30,30,Z0021,681872,247906,7245.230956,19236.06289,0.37664833,0.273219692,7.4
31,31,Z0021,681860,247912,7415.753633,19688.8,0.37664833,0.273219692,7.6
32,32,Z0021,681851,247917,4318.585939,11465.83059,0.37664833,0.273219692,4.4
33,33,Z0021,681842,247922,7075.699689,18785.95797,0.37664833,0.273219692,7.2
34,34,Z0021,681832,247931,10608.09677,28164.45989,0.37664833,0.273219692,10.8
35,35,Z0021,681877,247914,4925.329418,13076.73241,0.37664833,0.273219692,5
36,36,Z0021,681880,247923,6424.34272,17056.60749,0.37664833,0.273219692,6.6
37,37,Z0021,681839,247947,11097.85376,29464.76299,0.37664833,0.273219692,11.3
38,38,Z0021,681886,247937,14014.58467,37208.67337,0.37664833,0.273219692,14.3
39,39,Z0021,681876,247946,6900.219958,18320.05989,0.37664833,0.273219692,7
40,40,Z0021,681867,247951,7120.31318,18904.40663,0.37664833,0.273219692,7.3
41,41,Z0021,681857,247956,6245.888755,16582.81283,0.37664833,0.273219692,6.4
42,42,Z0021,681846,247960,21003.13526,20041.5138,1,0.527074645,20.5
43,43,Z0023,681974,247804,15641.11602,36898.23788,0.423898726,0.2732167,16
44,44,Z0023,681972,247827,45559.09517,100445.2031,0.453571637,0.2732167,46.5
45,45,Z0023,681946,247836,17379.0178,40998.04209,0.423898726,0.2732167,17.7
46,46,Z0023,681968,247790,11969.79851,24769.65043,0.483244547,0.2732167,12.2
47,47,Z0023,681955,247794,11969.79851,24769.65043,0.483244547,0.2732167,12.2
48,48,Z0023,681943,247800,11441.18672,26990.37771,0.423898726,0.2732167,11.7
49,49,Z0023,681936,247813,17830.87227,51930.85331,0.343357968,0.2732167,18.2
50,50,Z0024,681936,247916,9307.418352,20409.61609,0.456031035,0.275496872,9.5
51,51,Z0024,681926,247921,9376.362191,20560.79843,0.456031035,0.275496872,9.6
52,52,Z0024,681940,247882,5377.619492,11792.22263,0.456031035,0.275496872,5.5
53,53,Z0024,681944,247894,10327.3117,27364.00379,0.377404995,0.275496872,10.5
54,54,Z0024,681949,247909,14202.43097,31143.56233,0.456031035,0.275496872,14.5
55,55,Z0024,681935,247874,7376.990842,16176.51053,0.456031035,0.275496872,7.5
56,56,Z0024,681926,247879,7032.271643,15420.59882,0.456031035,0.275496872,7.2
57,57,Z0024,681917,247884,7791.842567,17385.96926,0.448168431,0.275496872,8
58,58,Z0024,681905,247889,9820.931089,23130.89823,0.424580619,0.275496872,10
59,59,Z0024,681899,247899,11237.84586,24642.72165,0.456031035,0.275496872,11.5
