AgentID;x;y
0;682183.0;247685.0
1;682138.0;247635.0
2;682194.0;247670.0
3;682152.25;247684.55
4;681806.0;247940.0
5;681813.0;247953.0
6;681818.0;247965.0
7;681820.0;247975.0
8;681807.0;247981.0
9;681917.0;247833.0
10;681909.0;247816.0
11;681897.0;247822.0
12;681885.0;247829.0
13;681874.0;247836.0
14;681880.0;247852.0
15;681924.0;247851.0
16;681912.0;247857.0
17;681900.0;247863.0
18;681887.0;247867.0
19;681848.0;247850.0
20;681832.0;247855.0
21;681818.0;247863.0
22;681856.0;247865.0
23;681861.0;247881.0
24;681847.0;247890.0
25;681833.0;247897.0
26;681818.0;247902.0
27;681810.0;247888.0
28;681804.0;247872.0
29;681872.0;247906.0
30;681860.0;247912.0
31;681851.0;247917.0
32;681842.0;247922.0
33;681832.0;247931.0
34;681877.0;247914.0
35;681880.0;247923.0
36;681839.0;247947.0
37;681886.0;247937.0
38;681876.0;247946.0
39;681867.0;247951.0
40;681857.0;247956.0
41;681846.0;247960.0
42;681974.0;247804.0
43;681972.0;247827.0
44;681946.0;247836.0
45;681968.0;247790.0
46;681955.0;247794.0
47;681943.0;247800.0
48;681936.0;247813.0
49;681936.0;247916.0
